Aeródromos,Aeródromos privados - pistas de pouso e decolagem,6,936,1665,0.18e2,12/F/C/Y/T,Asfalto,,0.1537e4,04 - Visual,0.1538e4,22 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,26,940,1460,0.3e2,31/F/A/X/T,Asfalto,,0.1683e4,11 - Visual,0.1684e4,29 - Visual,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,84,945,1200,0.23e2,2500 Kg /   0.50 MPa,Asfalto,,0.1345e4,15 - Visual,0.1346e4,33 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,222,960,1260,0.18e2,21/F/B/Y/T,Asfalto,,0.1781e4,06 - Visual,0.1782e4,24 - Visual,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,233,962,2499,0.3e2,57/F/A/X/T,Asfalto,,0.1277e4,05 - IFR Não Precisão,0.1278e4,23 - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,241,964,1640,0.35e2,35/F/B/X/T,Asfalto,,0.1793e4,07 - IFR Não Precisão,0.1794e4,25 - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,254,967,1500,0.3e2,15/F/B/X/T,Asfalto,,0.1337e4,16 - Visual,0.1338e4,34 - Visual,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,42,976,1300,0.28e2,10/F/B/Y/U,Asfalto,,0.1633e4,10 - Visual,0.1634e4,28 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,126,983,1320,0.23e2,12/F/A/Y/T,Asfalto,,0.1437e4,14 - Visual,0.1438e4,32 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,136,985,1500,0.3e2,12/F/B/X/T,Asfalto,,0.1607e4,18 - Visual,0.1608e4,36 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,193,893,1200,0.18e2,6/F/B/Y/T,Asfalto,,0.1565e4,06 - Visual,0.1566e4,24 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,192,993,1200,0.23e2,6/F/B/Y/U,Asfalto,,0.1789e4,16 - Visual,0.179e4,34 - Visual,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,209,994,2600,0.3e2,30/F/A/X/T,Asfalto,,0.1237e4,03 - IFR Não Precisão,0.1238e4,21 - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,247,999,1700,0.35e2,35/F/B/X/T,Asfalto,,0.1461e4,03 - IFR Não Precisão,0.1462e4,21 - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,80,1017,1100,0.2e2,5700 Kg /   0.50 MPa,Asfalto,,0.1365e4,14 - Visual,0.1366e4,32 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,122,1023,2000,0.3e2,33/F/B/X/T,Asfalto,,0.1303e4,07 - Visual,0.1304e4,25 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,127,1024,1300,0.3e2,15/F/B/X/T,Asfalto,,0.1691e4,18 - Visual,0.1692e4,36 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,190,1032,1200,0.18e2,5700 Kg /   0.50 MPa,Asfalto,,0.1749e4,05 - Visual,0.175e4,23 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,199,1034,1323,0.42e2,65/F/B/X/T,Asfalto,,0.1517e4,02R - IFR Não Precisão,0.1518e4,20L - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,203,1035,1544,0.45e2,29/F/A/X/T,Asfalto,,0.1241e4,07 - IFR Não Precisão,0.1242e4,25 - IFR Não Precisão,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,245,1040,2000,0.3e2,26/F/B/X/T,Asfalto,,0.1333e4,05 - Visual,0.1334e4,23 - Visual,,1
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,41,1044,1300,0.19e2,6/F/C/Z/U,Asfalto,,0.1693e4,07 - Visual,0.1694e4,25 - Visual,,
Aeródromos,Aeródromos privados - pistas de pouso e decolagem,103,1053,1500,0.3e2,11/F/C/Y/T,Asfalto,,0.1721e4,11 - Visual,0.1722e4,29 - Visual,,
